eventId,qtr,qtr_rem,timestamp,x,y,z,rim,closest_team,shot_idx,shooter,shooting_team,vel_shooter,closest_def,shot_dist,min_rem,sec_rem,shot_times,scaled_vel_shooter,scaled_closest_def,scaled_shot_dist,quality_score
2,1.0,704.39,1451765444132.0,88.46428,25.2616,9.98846,2.0,1610612751.0,253.0,201572.0,1610612751.0,0.18655173943975945,2.970287715121214,83.45690350397263,11.0,44.389999999999986,15.610000000000014,0.8557140357017852,0.4881579357255409,0.051428056326418115,3.4265331245605055
4,1.0,677.06,1451765471092.0,68.6456,25.26228,2.63022,2.0,1610612751.0,377.0,201152.0,1610612751.0,0.08395903077096678,6.0,62.62305856686497,11.0,17.059999999999945,42.940000000000055,0.9350630031501568,1.0,0.2894055040233481,6.9410731274681385
9,1.0,647.19,1451765528929.0,85.62582,34.1345,8.94071,2.0,1610612751.0,223.0,201572.0,1610612751.0,0.16680366125478358,5.06343290095761,81.31378255323817,10.0,47.190000000000055,72.80999999999995,0.8709879243962184,0.8417755904750612,0.07590814895940134,5.093890706663824
10,1.0,631.51,1451765544608.0,26.89778,16.53943,6.00365,1.0,1610612738.0,240.0,202738.0,1610612738.0,0.13198855177628135,6.0,23.50388689351827,10.0,31.50999999999999,88.49000000000001,0.8979152082604126,1.0,0.7362496011616421,8.677624961063504
14,1.0,605.75,1451765570368.0,12.84982,17.41815,13.81932,1.0,1610612738.0,284.0,203109.0,1610612738.0,0.08468027968777589,2.835845231073093,18.02640821156561,10.0,5.75,114.25,0.9345051627581381,0.46544511282654094,0.7988168517330291,6.832134437834962
19,1.0,584.39,1451765744000.0,16.0092,11.87653,10.57158,1.0,1610612738.0,275.0,202738.0,1610612738.0,0.09814359280156852,6.0,19.920253078916947,9.0,44.389999999999986,135.61,0.9240921421071049,1.0,0.7771841493093175,8.96208583237964
22,1.0,561.82,1451765783479.0,87.3283,31.3248,8.89332,2.0,1610612751.0,261.0,201572.0,1610612751.0,0.21109683002830817,0.4556649692482405,81.88758144685981,9.0,21.82000000000005,158.17999999999995,0.836729961498074,0.06333551824947829,0.06935385249575698,1.621381604708991
23,1.0,549.05,1451765795917.0,19.65055,31.58969,13.07072,1.0,1610612738.0,172.0,203096.0,1610612738.0,0.34035029277495793,4.050762702467279,15.793782155066594,9.0,9.049999999999955,170.95000000000005,0.7367605880294017,0.6706942612638769,0.8243193286973728,6.9720391771579475
27,1.0,535.0,1451765849275.0,86.79902,25.22514,12.10964,2.0,1610612751.0,6.0,2207.0,1610612751.0,0.23664884067326458,6.0,76.66132651423466,8.0,55.0,185.0,0.8169670983549173,1.0,0.12905146537682366,5.760826302699458
29,1.0,531.12,1451765859435.0,24.50942,40.80806,1.93647,1.0,1610612738.0,135.0,202340.0,1610612738.0,0.3735673409279778,6.0,24.65134417191079,8.0,51.120000000000005,188.88,0.711069303465173,1.0,0.7231426132159486,7.8300982428181625
32,1.0,507.92,1451765882633.0,31.30695,34.11183,3.8016,1.0,1610612738.0,390.0,203109.0,1610612738.0,1.2929306072639775,1.7844056545527969,27.27960829437439,8.0,27.920000000000016,212.07999999999998,0.0,0.2878140532727977,0.6931209062470509,1.6701921103257675
32,1.0,512.56,1451765877994.0,89.41254,27.10757,10.60792,2.0,1610612751.0,274.0,201152.0,1610612751.0,0.0815407255793089,3.6382812178967154,84.67738061603937,8.0,32.559999999999945,207.44000000000005,0.9369334091704578,0.6010093028632684,0.03748698932803407,4.190036512978119
37,1.0,505.0,1451765910272.0,18.07844,25.74104,9.59907,1.0,1610612738.0,50.0,203109.0,1610612738.0,0.010275675744202776,6.0,14.93604236999882,8.0,25.0,215.0,0.9920524151207561,1.0,0.8341169788889116,9.491461726478233
37,1.0,505.0,1451765924712.0,18.38884,25.5223,9.72966,1.0,1610612738.0,176.0,203109.0,1610612738.0,0.01571756953221425,6.0,15.079226600860537,8.0,25.0,215.0,0.9878434546727339,1.0,0.8324814373979491,9.46668903386936
47,1.0,474.78,1451766107464.0,17.64465,13.38012,3.7989,1.0,1610612738.0,186.0,203109.0,1610612738.0,0.7432455945594291,6.0,17.178310379781244,7.0,54.77999999999997,245.22000000000003,0.4251465698284914,1.0,0.8085043653923951,6.979994060303076
48,1.0,455.29,1451766126863.0,70.6914,29.44074,8.26112,2.0,1610612751.0,321.0,201572.0,1610612751.0,0.08085907464224576,6.0,65.07643791878671,7.0,35.29000000000002,264.71,0.9374606230311502,1.0,0.26138144230237526,6.832452072502542
50,1.0,441.26,1451766140823.0,4.96311,41.78506,11.15528,1.0,1610612738.0,170.0,203096.0,1610612738.0,0.01620688742479558,4.826802530143531,20.295226283384963,7.0,21.25999999999999,278.74,0.9874649982499125,0.8017990626469891,0.7729009665159627,8.3724443851581
53,1.0,429.0,1451766180781.0,74.58863,25.01093,7.93796,2.0,1610612751.0,44.0,201572.0,1610612751.0,0.025373819736093095,6.0,68.81476274292095,7.0,9.0,291.0,0.9803749562478162,1.0,0.21867991490812133,6.833354078059054
55,1.0,411.39,1451766207340.0,4.30859,22.69823,6.3129,1.0,1610612738.0,508.0,203096.0,1610612738.0,0.038723995764899696,2.982808214837152,2.005968127987083,6.0,51.389999999999986,308.61,0.9700494399719989,0.49027315915858377,0.98181252313121,7.863681795082495
58,1.0,383.34,1451766235299.0,17.78768,17.86714,14.12974,1.0,1610612738.0,557.0,203109.0,1610612738.0,0.04615427382160949,5.416501321591272,19.676717748293285,6.0,23.339999999999975,336.66,0.9643025901295056,0.901423257400136,0.7799659649838029,8.726483684572479
